true_ratio,threshold,seed,ok,error,error_class,fitted_ratio,fitted_minor_direction,excluded_minor,pos_estimate,pos_pvalue,neg_estimate,neg_pvalue,contrast_estimate,true_contrast
0.05,0.4,71,TRUE,NA,NA,2.991074989904208e-4,negative,TRUE,0.4550958577893526,7.154961013677324e-11,NA,NA,0.14409323539645827,0.475
0.05,0.4,42,TRUE,NA,NA,1.2512143070602377e-5,negative,TRUE,0.40089905386272995,7.334515096868801e-10,NA,NA,0.16148691860163397,0.475
0.05,0.4,123,TRUE,NA,NA,0,negative,TRUE,0.3723706604522546,2.334720449241703e-8,NA,NA,0.1631461931721409,0.475
0.05,0.4,256,TRUE,NA,NA,6.662736615484974e-5,negative,TRUE,0.38091779010527144,6.383751829100884e-8,NA,NA,0.18873036104563673,0.475
0.05,0.4,314,TRUE,NA,NA,1.7070319744091553e-4,negative,TRUE,0.44111231337839935,1.4075173552399146e-11,NA,NA,0.14857041838560614,0.475
0.05,0.4,500,TRUE,NA,NA,0,negative,TRUE,0.5190677535302687,1.0336919036020944e-14,NA,NA,0.2183443204958662,0.475
0.05,0.4,617,TRUE,NA,NA,0,negative,TRUE,0.514201982462483,7.308239250555066e-14,NA,NA,0.2000639853074741,0.475
0.05,0.4,789,TRUE,NA,NA,0,negative,TRUE,0.5249518440389005,6.300751400949972e-13,NA,NA,0.23213683379096445,0.475
0.05,0.4,888,TRUE,NA,NA,0,negative,TRUE,0.5456139157159712,8.339968900319163e-16,NA,NA,0.23256157268130734,0.475
0.05,0.4,999,TRUE,NA,NA,0,negative,TRUE,0.375149874375361,1.95926362307504e-8,NA,NA,0.14742865309080136,0.475
0.05,0.4,1001,TRUE,NA,NA,0,negative,TRUE,0.32765013479928246,4.676043486844725e-6,NA,NA,0.12207746507969058,0.475
0.05,0.4,1123,TRUE,NA,NA,0.0016420488599888817,negative,TRUE,0.4740087215829907,2.1765293711198887e-14,NA,NA,0.1781071526657585,0.475
0.05,0.4,1234,TRUE,NA,NA,4.3224402128701743e-4,negative,TRUE,0.3862349521696849,1.967612944296627e-9,NA,NA,0.13653248910515384,0.475
0.05,0.4,1357,TRUE,NA,NA,0,negative,TRUE,0.3696303327734609,3.50619676823068e-9,NA,NA,0.1491748079624737,0.475
0.05,0.4,1500,TRUE,NA,NA,4.2110087147838706e-4,negative,TRUE,0.41126181604103285,2.1749278038779718e-10,NA,NA,0.13983426730770301,0.475
0.05,0.4,1618,TRUE,NA,NA,0,negative,TRUE,0.43264604955895103,6.461017410526157e-11,NA,NA,0.15728717938717215,0.475
0.05,0.4,1729,TRUE,NA,NA,6.65075784061972e-5,negative,TRUE,0.49458271568049017,5.770546657483007e-15,NA,NA,0.15143814329239924,0.475
0.05,0.4,1847,TRUE,NA,NA,1.6026276329654927e-5,negative,TRUE,0.5047440190950694,1.322592574436493e-12,NA,NA,0.20844981189547956,0.475
0.05,0.4,1963,TRUE,NA,NA,2.9069866037624072e-6,negative,TRUE,0.46410122578836277,4.587732784379283e-13,NA,NA,0.17452513787927676,0.475
0.05,0.4,2048,TRUE,NA,NA,1.5067130811348904e-6,negative,TRUE,0.497585066379725,5.3120829087955676e-15,NA,NA,0.20654665608233788,0.475
0.05,0.4,2222,TRUE,NA,NA,0.009329658417897022,negative,TRUE,0.49083444269348037,6.095636495100604e-15,NA,NA,0.2382155034462762,0.475
0.05,0.4,2345,TRUE,NA,NA,2.311001822820516e-5,negative,TRUE,0.39673108117537004,1.663899842968265e-9,NA,NA,0.13985084412621276,0.475
0.05,0.4,2500,TRUE,NA,NA,0.03523552597148256,negative,TRUE,0.42655921667030033,4.1305967659878344e-10,NA,NA,0.17726968407499932,0.475
0.05,0.4,2718,TRUE,NA,NA,0,negative,TRUE,0.35664607640089285,4.119792630129851e-9,NA,NA,0.15222390261387567,0.475
0.05,0.4,2801,TRUE,NA,NA,0,negative,TRUE,0.42022221412769223,8.969550589616219e-10,NA,NA,0.16696323399259094,0.475
0.05,0.4,3001,TRUE,NA,NA,0.019896603946798232,negative,TRUE,0.438941255485209,1.2839842029191863e-11,NA,NA,0.2355123942486897,0.475
